mutant	verdict	detail
tool:L_typeII/opt0/atom0/rhs0+	killed	config=base slice=877/1000 (mutant=witness, expected covered)
tool:L_typeII/opt0/atom0/rhs0-	killed	config=base slice=662/755 (mutant=covered, expected witness)
tool:L_typeII/opt0/atom0/rhs1+	killed	config=base slice=877/1000 (mutant=witness, expected covered)
tool:L_typeII/opt0/atom0/rhs1-	killed	config=base slice=662/755 (mutant=covered, expected witness)
tool:L_typeII/opt1/atom0/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:L_typeII/opt1/atom0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:L_typeII/opt1/atom0/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:L_typeII/opt1/atom0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:L_typeII/opt2/atom0/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:L_typeII/opt2/atom0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:L_typeII/opt2/atom0/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:L_typeII/opt2/atom0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:K_aux/opt0/atom0/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:K_aux/opt0/atom0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:K_aux/opt0/atom0/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:K_aux/opt0/atom0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:K_EP/opt0/atom0/rhs0+	killed	config=base slice=177/200 (mutant=witness, expected covered)
tool:K_EP/opt0/atom0/rhs0-	SURVIVED	OUT_OF_REACH (boundary moved: base ; no_typeII_estimate -- movement does not cross any expectation change)
tool:K_EP/opt0/atom0/rhs1+	killed	config=base slice=177/200 (mutant=witness, expected covered)
tool:K_EP/opt0/atom0/rhs1-	SURVIVED	OUT_OF_REACH (boundary moved: base ; no_typeII_estimate -- movement does not cross any expectation change)
tool:K_EP/opt1/atom0/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:K_EP/opt1/atom0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:K_EP/opt1/atom0/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:K_EP/opt1/atom0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:K_EP/opt2/atom0/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:K_EP/opt2/atom0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:K_EP/opt2/atom0/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:K_EP/opt2/atom0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeII_complement/row0/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeII_complement/row0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeII_complement/row0/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeII_complement/row0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeII_complement/row1/rhs0+	killed	config=base slice=877/1000 (mutant=witness, expected covered)
region:typeII_complement/row1/rhs0-	killed	config=base slice=662/755 (mutant=covered, expected witness)
region:typeII_complement/row1/rhs1+	killed	config=base slice=877/1000 (mutant=witness, expected covered)
region:typeII_complement/row1/rhs1-	killed	config=base slice=662/755 (mutant=covered, expected witness)
region:typeII_complement/row2/rhs0+	killed	config=no_typeII_estimate slice=2201/2500 (mutant=witness, expected covered)
region:typeII_complement/row2/rhs0-	killed	config=no_typeII_estimate slice=22/25 (mutant=covered, expected witness)
region:typeII_complement/row2/rhs1+	killed	config=no_typeII_estimate slice=2201/2500 (mutant=witness, expected covered)
region:typeII_complement/row2/rhs1-	killed	config=no_typeII_estimate slice=22/25 (mutant=covered, expected witness)
region:typeI/row0/rhs0+	killed	config=base slice=177/200 (mutant=witness, expected covered)
region:typeI/row0/rhs0-	SURVIVED	OUT_OF_REACH (boundary moved: base ; no_typeII_estimate -- movement does not cross any expectation change)
region:typeI/row0/rhs1+	killed	config=base slice=177/200 (mutant=witness, expected covered)
region:typeI/row0/rhs1-	SURVIVED	OUT_OF_REACH (boundary moved: base ; no_typeII_estimate -- movement does not cross any expectation change)
region:typeI/row1/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeI/row1/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeI/row1/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeI/row1/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
